f1_macro,f1_weighted,acuracia,bal_acuracia,auc_roc,f1_por_classe,score_composto,seed,cv_f1_mean,cv_f1_std,modelo_nome,n_amostras,timestamp
0.8967,0.9268,0.925,0.9122,0.9856,"{'Alto': 0.9333, 'Baixo': 0.9877, 'Medio': 0.7692}",0.9338,456,0.9165,0.0155,RandomForest_wide,600,2026-06-04 19:39:27
0.9054,0.9253,0.925,0.9034,0.982,"{'Alto': 0.9351, 'Baixo': 0.9811, 'Medio': 0.8}",0.9338,456,0.9169,0.0105,GradientBoosting,400,2026-06-04 19:41:03
0.8988,0.9317,0.9333,0.8913,0.9929,"{'Alto': 0.944, 'Baixo': 0.9877, 'Medio': 0.7647}",0.9337,314,0.9142,0.016,GradientBoosting,600,2026-06-04 19:41:53
0.8921,0.913,0.9083,0.9278,0.984,"{'Alto': 0.9009, 'Baixo': 1.0, 'Medio': 0.7755}",0.933,777,0.8806,0.0576,RandomForest_wide,600,2026-06-04 19:39:49
0.8903,0.914,0.91,0.9197,0.986,"{'Alto': 0.9091, 'Baixo': 0.9926, 'Medio': 0.7692}",0.9317,7,0.9072,0.0251,RandomForest_wide,1000,2026-06-04 19:40:46
0.8984,0.9221,0.925,0.8837,0.9923,"{'Alto': 0.9259, 'Baixo': 1.0, 'Medio': 0.7692}",0.931,456,0.9398,0.0197,GradientBoosting,800,2026-06-04 19:42:16
0.8959,0.9209,0.92,0.8995,0.9863,"{'Alto': 0.9239, 'Baixo': 0.9925, 'Medio': 0.7714}",0.9307,2024,0.9337,0.0069,GradientBoosting,1000,2026-06-04 19:43:05
0.8929,0.9255,0.925,0.899,0.9865,"{'Alto': 0.9344, 'Baixo': 0.9877, 'Medio': 0.7568}",0.9301,456,0.9226,0.0159,RandomForest_default,600,2026-06-04 19:36:06
0.8895,0.9123,0.9083,0.9167,0.9822,"{'Alto': 0.9027, 'Baixo': 1.0, 'Medio': 0.766}",0.9293,777,0.8878,0.0462,RandomForest_default,600,2026-06-04 19:36:17
0.8872,0.9172,0.9125,0.9234,0.9784,"{'Alto': 0.9211, 'Baixo': 0.9818, 'Medio': 0.7586}",0.9289,99,0.8585,0.0563,RandomForest_wide,400,2026-06-04 19:39:09
0.8854,0.9043,0.9,0.9138,0.9888,"{'Alto': 0.8889, 'Baixo': 1.0, 'Medio': 0.7674}",0.9288,777,0.9038,0.0134,RandomForest_default,1000,2026-06-04 19:36:52
0.8823,0.9002,0.895,0.922,0.9865,"{'Alto': 0.8851, 'Baixo': 0.9926, 'Medio': 0.7692}",0.928,777,0.9013,0.0102,RandomForest_wide,1000,2026-06-04 19:40:51
0.888,0.9224,0.925,0.8771,0.9905,"{'Alto': 0.9341, 'Baixo': 0.9907, 'Medio': 0.7391}",0.9254,2024,0.8641,0.0142,GradientBoosting,800,2026-06-04 19:42:24
0.8872,0.9239,0.925,0.8859,0.9858,"{'Alto': 0.9431, 'Baixo': 0.9756, 'Medio': 0.7429}",0.9252,314,0.9,0.0395,RandomForest_default,600,2026-06-04 19:36:12
0.8846,0.9091,0.905,0.9087,0.9805,"{'Alto': 0.9091, 'Baixo': 0.9851, 'Medio': 0.7595}",0.925,2024,0.917,0.0099,RandomForest_wide,1000,2026-06-04 19:40:33
0.8872,0.9239,0.925,0.8859,0.985,"{'Alto': 0.9431, 'Baixo': 0.9756, 'Medio': 0.7429}",0.9249,314,0.912,0.0202,RandomForest_deep,600,2026-06-04 19:37:42
0.8765,0.9051,0.9,0.9103,0.9873,"{'Alto': 0.9027, 'Baixo': 0.9877, 'Medio': 0.7391}",0.9244,123,0.8982,0.0226,RandomForest_default,600,2026-06-04 19:36:04
0.8806,0.9181,0.9167,0.8937,0.9837,"{'Alto': 0.9412, 'Baixo': 0.9639, 'Medio': 0.7368}",0.9229,314,0.885,0.0557,RandomForest_wide,600,2026-06-04 19:39:40
0.8801,0.9032,0.9,0.9027,0.9832,"{'Alto': 0.9103, 'Baixo': 0.9725, 'Medio': 0.7576}",0.9227,789,0.9074,0.0217,RandomForest_wide,800,2026-06-04 19:40:00
0.88,0.9133,0.9125,0.8897,0.9853,"{'Alto': 0.9351, 'Baixo': 0.9643, 'Medio': 0.7407}",0.9221,2025,0.8947,0.0286,RandomForest_default,400,2026-06-04 19:35:56
0.8791,0.9134,0.9125,0.8875,0.9841,"{'Alto': 0.925, 'Baixo': 0.9815, 'Medio': 0.7308}",0.9209,2024,0.8836,0.0081,RandomForest_default,800,2026-06-04 19:36:25
0.8753,0.9088,0.9062,0.8927,0.9828,"{'Alto': 0.9172, 'Baixo': 0.9815, 'Medio': 0.7273}",0.9195,2024,0.8639,0.0048,RandomForest_wide,800,2026-06-04 19:40:03
0.8781,0.9071,0.905,0.8894,0.9801,"{'Alto': 0.9167, 'Baixo': 0.9778, 'Medio': 0.7397}",0.9187,2024,0.9306,0.0194,RandomForest_default,1000,2026-06-04 19:36:44
0.8806,0.9141,0.9187,0.864,0.9879,"{'Alto': 0.9277, 'Baixo': 0.9907, 'Medio': 0.7234}",0.9186,123,0.9075,0.0033,GradientBoosting,800,2026-06-04 19:42:12
0.8756,0.9109,0.9125,0.8724,0.9886,"{'Alto': 0.925, 'Baixo': 0.9818, 'Medio': 0.72}",0.9182,314,0.9126,0.026,GradientBoosting,400,2026-06-04 19:41:17
0.8714,0.898,0.8938,0.8965,0.9841,"{'Alto': 0.8933, 'Baixo': 0.9907, 'Medio': 0.7302}",0.9181,123,0.892,0.0172,RandomForest_wide,800,2026-06-04 19:39:54
0.8722,0.9077,0.9062,0.8834,0.9829,"{'Alto': 0.9182, 'Baixo': 0.9815, 'Medio': 0.717}",0.9166,314,0.8947,0.0368,RandomForest_default,800,2026-06-04 19:36:28
0.8706,0.9017,0.9,0.8796,0.9807,"{'Alto': 0.9119, 'Baixo': 0.9778, 'Medio': 0.7222}",0.9139,2024,0.931,0.0151,RandomForest_deep,1000,2026-06-04 19:38:26
0.8599,0.8995,0.9,0.8641,0.9886,"{'Alto': 0.9231, 'Baixo': 0.9643, 'Medio': 0.6923}",0.9098,314,0.8752,0.0079,RandomForest_deep,400,2026-06-04 19:37:14
0.8514,0.8827,0.875,0.8939,0.9833,"{'Alto': 0.8727, 'Baixo': 0.9877, 'Medio': 0.6939}",0.9084,123,0.8984,0.0265,RandomForest_wide,600,2026-06-04 19:39:23
0.8535,0.8908,0.8875,0.8731,0.975,"{'Alto': 0.9067, 'Baixo': 0.9643, 'Medio': 0.6897}",0.9033,2025,0.8586,0.0133,RandomForest_wide,400,2026-06-04 19:39:02
