acuracia,bal_acuracia,precision_macro,recall_macro,f1_macro,f2_macro,precision_weighted,recall_weighted,f1_weighted,f2_weighted,auc_roc,score_composto,cv_f1_mean,cv_f1_std,modelo_nome,n_amostras,timestamp,Alto_precision,Alto_recall,Alto_f1,Alto_f2,Baixo_precision,Baixo_recall,Baixo_f1,Baixo_f2,Medio_precision,Medio_recall,Medio_f1,Medio_f2
0.9583,0.9606,0.9336,0.9606,0.9453,0.954,0.9624,0.9583,0.9593,0.9585,0.9965,0.964,0.9223,0.0206,GradientBoosting,600,2026-06-04 19:50:46,0.9828,0.9344,0.958,0.9437,1.0,1.0,1.0,1.0,0.8182,0.9474,0.878,0.9184
0.9625,0.9468,0.9591,0.9468,0.9525,0.949,0.9622,0.9625,0.9621,0.9623,0.9946,0.9636,0.9167,0.034,RandomForest_deep,400,2026-06-04 19:46:40,0.9487,0.9737,0.961,0.9686,1.0,1.0,1.0,1.0,0.9286,0.8667,0.8966,0.8784
0.9625,0.956,0.9404,0.956,0.9477,0.9525,0.9641,0.9625,0.963,0.9626,0.9893,0.9624,0.824,0.0149,GradientBoosting,400,2026-06-04 19:50:19,0.975,0.9512,0.963,0.9559,1.0,1.0,1.0,1.0,0.8462,0.9167,0.88,0.9016
0.9625,0.9438,0.9577,0.9438,0.9503,0.9463,0.9622,0.9625,0.962,0.9623,0.9963,0.9624,0.9294,0.0436,RandomForest_deep,400,2026-06-04 19:46:48,0.95,0.9744,0.962,0.9694,1.0,1.0,1.0,1.0,0.9231,0.8571,0.8889,0.8696
0.9583,0.9513,0.9431,0.9513,0.947,0.9495,0.9592,0.9583,0.9586,0.9584,0.9942,0.9618,0.9372,0.0033,GradientBoosting,600,2026-06-04 19:51:01,0.9655,0.9492,0.9573,0.9524,1.0,1.0,1.0,1.0,0.8636,0.9048,0.8837,0.8962
0.95,0.9658,0.9259,0.9658,0.9403,0.9541,0.9611,0.95,0.9518,0.9497,0.9967,0.9613,0.8893,0.0119,RandomForest_wide,400,2026-06-04 19:48:17,1.0,0.8974,0.9459,0.9162,1.0,1.0,1.0,1.0,0.7778,1.0,0.875,0.9459
0.955,0.9565,0.9289,0.9565,0.9408,0.9497,0.9599,0.955,0.956,0.9551,0.9957,0.9609,0.9156,0.0182,RandomForest_default,1000,2026-06-04 19:46:28,1.0,0.93,0.9637,0.9432,0.971,1.0,0.9853,0.9941,0.8158,0.9394,0.8732,0.9118
0.9563,0.9535,0.9339,0.9535,0.9427,0.9489,0.959,0.9562,0.957,0.9564,0.9918,0.9597,0.9225,0.0148,RandomForest_deep,800,2026-06-04 19:47:27,0.974,0.9375,0.9554,0.9446,1.0,1.0,1.0,1.0,0.8276,0.9231,0.8727,0.9023
0.955,0.9501,0.9382,0.9501,0.9436,0.9473,0.957,0.955,0.9557,0.9552,0.9915,0.9595,0.9225,0.022,RandomForest_deep,1000,2026-06-04 19:47:34,0.9684,0.9485,0.9583,0.9524,1.0,0.9851,0.9925,0.988,0.8462,0.9167,0.88,0.9016
0.95,0.9557,0.9179,0.9557,0.9329,0.9455,0.9583,0.95,0.9521,0.9503,0.9976,0.9582,0.93,0.0302,GradientBoosting,800,2026-06-04 19:51:42,0.9872,0.9277,0.9565,0.939,1.0,0.9811,0.9905,0.9848,0.7667,0.9583,0.8519,0.9127
0.955,0.9442,0.9412,0.9442,0.9427,0.9436,0.9557,0.955,0.9553,0.9551,0.9911,0.9578,0.9197,0.0207,GradientBoosting,1000,2026-06-04 19:51:55,0.9588,0.9588,0.9588,0.9588,1.0,0.9851,0.9925,0.988,0.8649,0.8889,0.8767,0.884
0.95,0.9505,0.9285,0.9505,0.938,0.9451,0.954,0.95,0.951,0.9501,0.9972,0.9576,0.9046,0.0097,GradientBoosting,400,2026-06-04 19:50:26,0.973,0.9231,0.9474,0.9326,1.0,1.0,1.0,1.0,0.8125,0.9286,0.8667,0.9028
0.95,0.9613,0.9298,0.9613,0.9408,0.9518,0.9605,0.95,0.9521,0.95,0.9799,0.9573,0.8571,0.0628,RandomForest_wide,400,2026-06-04 19:47:59,1.0,0.9211,0.9589,0.9358,1.0,0.963,0.9811,0.9701,0.7895,1.0,0.8824,0.9494
0.95,0.9535,0.9248,0.9535,0.9368,0.9462,0.9557,0.95,0.9512,0.9501,0.9938,0.9572,0.9188,0.0082,RandomForest_deep,1000,2026-06-04 19:47:45,0.9891,0.9192,0.9529,0.9324,0.9853,1.0,0.9926,0.997,0.8,0.9412,0.8649,0.9091
0.9563,0.9449,0.938,0.9449,0.9413,0.9434,0.9569,0.9562,0.9565,0.9563,0.9898,0.9567,0.9212,0.0249,GradientBoosting,800,2026-06-04 19:51:38,0.962,0.95,0.956,0.9524,1.0,1.0,1.0,1.0,0.8519,0.8846,0.8679,0.8779
0.9583,0.9364,0.9468,0.9364,0.9414,0.9384,0.9578,0.9583,0.9579,0.9581,0.996,0.9567,0.9167,0.0081,GradientBoosting,600,2026-06-04 19:50:49,0.9516,0.9672,0.9593,0.9641,1.0,1.0,1.0,1.0,0.8889,0.8421,0.8649,0.8511
0.9563,0.9429,0.9381,0.9429,0.9404,0.9418,0.9572,0.9562,0.9566,0.9564,0.9893,0.9565,0.9144,0.0171,GradientBoosting,800,2026-06-04 19:51:46,0.9625,0.9625,0.9625,0.9625,1.0,0.9815,0.9907,0.9851,0.8519,0.8846,0.8679,0.8779
0.95,0.9551,0.9217,0.9551,0.9354,0.9464,0.9567,0.95,0.9515,0.9501,0.9908,0.9562,0.9198,0.0259,RandomForest_deep,600,2026-06-04 19:47:01,0.9825,0.918,0.9492,0.9302,1.0,1.0,1.0,1.0,0.7826,0.9474,0.8571,0.9091
0.95,0.9535,0.9262,0.9535,0.9376,0.9465,0.9554,0.95,0.9512,0.9501,0.9892,0.956,0.9033,0.02,RandomForest_default,1000,2026-06-04 19:46:24,0.9785,0.9192,0.9479,0.9305,1.0,1.0,1.0,1.0,0.8,0.9412,0.8649,0.9091
0.955,0.9388,0.9439,0.9388,0.9413,0.9398,0.9547,0.955,0.9548,0.9549,0.993,0.956,0.9127,0.0062,GradientBoosting,1000,2026-06-04 19:51:51,0.9495,0.9592,0.9543,0.9572,1.0,1.0,1.0,1.0,0.8824,0.8571,0.8696,0.8621
0.95,0.9535,0.9262,0.9535,0.9376,0.9465,0.9554,0.95,0.9512,0.9501,0.9886,0.9559,0.9089,0.0128,RandomForest_wide,1000,2026-06-04 19:49:30,0.9785,0.9192,0.9479,0.9305,1.0,1.0,1.0,1.0,0.8,0.9412,0.8649,0.9091
0.95,0.9479,0.9322,0.9479,0.9387,0.9439,0.9541,0.95,0.9512,0.9503,0.9862,0.9558,0.8911,0.0404,RandomForest_deep,400,2026-06-04 19:46:36,0.973,0.9474,0.96,0.9524,1.0,0.963,0.9811,0.9701,0.8235,0.9333,0.875,0.9091
0.945,0.9567,0.921,0.9567,0.9343,0.9465,0.9551,0.945,0.9467,0.9448,0.9928,0.9556,0.9303,0.022,RandomForest_default,1000,2026-06-04 19:46:23,1.0,0.898,0.9462,0.9167,0.9851,1.0,0.9925,0.997,0.7778,0.9722,0.8642,0.9259
0.955,0.9429,0.9375,0.9429,0.9401,0.9418,0.9555,0.955,0.9552,0.9551,0.9893,0.9555,0.9195,0.0122,GradientBoosting,1000,2026-06-04 19:52:25,0.9596,0.95,0.9548,0.9519,1.0,1.0,1.0,1.0,0.8529,0.8788,0.8657,0.8735
0.95,0.9481,0.9201,0.9481,0.9323,0.9413,0.9547,0.95,0.9513,0.9502,0.996,0.9551,0.9273,0.0027,RandomForest_deep,800,2026-06-04 19:47:29,0.9747,0.9277,0.9506,0.9367,1.0,1.0,1.0,1.0,0.7857,0.9167,0.8462,0.8871
0.9417,0.9605,0.9167,0.9605,0.9314,0.9468,0.9562,0.9417,0.944,0.9413,0.9951,0.955,0.9078,0.022,RandomForest_wide,600,2026-06-04 19:48:47,1.0,0.8814,0.9369,0.9028,1.0,1.0,1.0,1.0,0.75,1.0,0.8571,0.9375
0.95,0.9494,0.9246,0.9494,0.9353,0.9433,0.9543,0.95,0.9511,0.9502,0.9914,0.955,0.9183,0.0111,RandomForest_default,800,2026-06-04 19:46:17,0.9737,0.925,0.9487,0.9343,1.0,1.0,1.0,1.0,0.8,0.9231,0.8571,0.8955
0.95,0.9494,0.9214,0.9494,0.9333,0.9424,0.9554,0.95,0.9512,0.9501,0.9918,0.9549,0.8973,0.0243,RandomForest_default,400,2026-06-04 19:45:51,1.0,0.925,0.961,0.9391,0.9643,1.0,0.9818,0.9926,0.8,0.9231,0.8571,0.8955
0.95,0.9474,0.9247,0.9474,0.9344,0.9417,0.9545,0.95,0.9513,0.9503,0.9909,0.9548,0.9021,0.0144,RandomForest_default,800,2026-06-04 19:46:19,0.974,0.9375,0.9554,0.9446,1.0,0.9815,0.9907,0.9851,0.8,0.9231,0.8571,0.8955
0.95,0.9423,0.9333,0.9423,0.9376,0.9404,0.9512,0.95,0.9504,0.9501,0.9929,0.9546,0.9068,0.0188,GradientBoosting,1000,2026-06-04 19:52:29,0.9579,0.9381,0.9479,0.942,1.0,1.0,1.0,1.0,0.8421,0.8889,0.8649,0.8791
0.95,0.9453,0.9248,0.9453,0.9334,0.9401,0.9547,0.95,0.9514,0.9503,0.9899,0.9545,0.8868,0.0156,RandomForest_deep,400,2026-06-04 19:46:34,0.9744,0.95,0.962,0.9548,1.0,0.963,0.9811,0.9701,0.8,0.9231,0.8571,0.8955
0.9417,0.9617,0.9103,0.9617,0.9279,0.9458,0.9574,0.9417,0.9444,0.9414,0.9947,0.9544,0.8933,0.0167,RandomForest_wide,600,2026-06-04 19:48:37,1.0,0.8852,0.9391,0.906,1.0,1.0,1.0,1.0,0.7308,1.0,0.8444,0.9314
0.95,0.9494,0.9214,0.9494,0.9333,0.9424,0.9554,0.95,0.9512,0.9501,0.9901,0.9544,0.8722,0.0244,RandomForest_wide,400,2026-06-04 19:48:01,1.0,0.925,0.961,0.9391,0.9643,1.0,0.9818,0.9926,0.8,0.9231,0.8571,0.8955
0.95,0.9444,0.9279,0.9444,0.9354,0.9407,0.9525,0.95,0.9508,0.9502,0.9926,0.9543,0.9218,0.0128,RandomForest_default,600,2026-06-04 19:46:06,0.9655,0.9333,0.9492,0.9396,1.0,1.0,1.0,1.0,0.8182,0.9,0.8571,0.8824
0.945,0.949,0.9229,0.949,0.9333,0.942,0.9517,0.945,0.9466,0.9452,0.9909,0.9536,0.9096,0.026,RandomForest_wide,1000,2026-06-04 19:49:24,0.978,0.9175,0.9468,0.929,1.0,0.9851,0.9925,0.988,0.7907,0.9444,0.8608,0.9091
0.945,0.945,0.9242,0.945,0.9332,0.9399,0.9491,0.945,0.9461,0.9452,0.9946,0.9532,0.9447,0.0078,GradientBoosting,1000,2026-06-04 19:51:59,0.9677,0.9184,0.9424,0.9278,1.0,1.0,1.0,1.0,0.8049,0.9167,0.8571,0.8919
0.95,0.9453,0.9248,0.9453,0.9334,0.9401,0.9547,0.95,0.9514,0.9503,0.9846,0.9531,0.8908,0.0452,RandomForest_default,400,2026-06-04 19:45:49,0.9744,0.95,0.962,0.9548,1.0,0.963,0.9811,0.9701,0.8,0.9231,0.8571,0.8955
0.95,0.9369,0.9349,0.9369,0.9359,0.9365,0.9499,0.95,0.9499,0.9499,0.9924,0.953,0.9238,0.0021,RandomForest_deep,800,2026-06-04 19:47:17,0.961,0.9487,0.9548,0.9512,0.9815,1.0,0.9907,0.9962,0.8621,0.8621,0.8621,0.8621
0.95,0.9406,0.9307,0.9406,0.9354,0.9384,0.9513,0.95,0.9505,0.9501,0.9893,0.9525,0.9209,0.0172,RandomForest_deep,1000,2026-06-04 19:47:39,0.9588,0.9394,0.949,0.9432,1.0,1.0,1.0,1.0,0.8333,0.8824,0.8571,0.8721
0.945,0.9432,0.9227,0.9432,0.9315,0.9382,0.9493,0.945,0.9462,0.9452,0.9914,0.9521,0.9192,0.0251,RandomForest_default,1000,2026-06-04 19:46:21,0.9783,0.9278,0.9524,0.9375,0.9851,0.9851,0.9851,0.9851,0.8049,0.9167,0.8571,0.8919
0.945,0.9437,0.9183,0.9437,0.9292,0.9374,0.95,0.945,0.9461,0.9451,0.9932,0.9515,0.9009,0.0125,RandomForest_default,1000,2026-06-04 19:46:27,0.9891,0.9192,0.9529,0.9324,0.971,1.0,0.9853,0.9941,0.7949,0.9118,0.8493,0.8857
0.9417,0.9504,0.9196,0.9504,0.9314,0.9418,0.9501,0.9417,0.9433,0.9417,0.9893,0.9513,0.9037,0.0068,RandomForest_wide,600,2026-06-04 19:48:28,0.9811,0.8966,0.9369,0.9123,1.0,1.0,1.0,1.0,0.7778,0.9545,0.8571,0.913
0.9417,0.95,0.9139,0.95,0.9279,0.94,0.9509,0.9417,0.9436,0.9418,0.992,0.9511,0.9223,0.0108,RandomForest_wide,600,2026-06-04 19:48:44,0.9818,0.9,0.9391,0.9153,1.0,1.0,1.0,1.0,0.76,0.95,0.8444,0.9048
0.9437,0.9399,0.9223,0.9399,0.9302,0.9358,0.9467,0.9438,0.9445,0.9439,0.9924,0.9505,0.9107,0.0098,RandomForest_default,800,2026-06-04 19:46:15,0.973,0.9231,0.9474,0.9326,0.9815,1.0,0.9907,0.9962,0.8125,0.8966,0.8525,0.8784
0.9437,0.9399,0.9242,0.9399,0.9312,0.9362,0.9465,0.9438,0.9446,0.9439,0.9914,0.9503,0.9081,0.0156,RandomForest_wide,800,2026-06-04 19:48:58,0.96,0.9231,0.9412,0.9302,1.0,1.0,1.0,1.0,0.8125,0.8966,0.8525,0.8784
0.95,0.931,0.931,0.931,0.931,0.931,0.95,0.95,0.95,0.95,0.9925,0.9496,0.915,0.0072,GradientBoosting,600,2026-06-04 19:50:34,0.9508,0.9508,0.9508,0.9508,1.0,1.0,1.0,1.0,0.8421,0.8421,0.8421,0.8421
0.94,0.9465,0.909,0.9465,0.9235,0.9361,0.95,0.94,0.942,0.94,0.9947,0.9496,0.9034,0.0196,RandomForest_wide,1000,2026-06-04 19:49:43,1.0,0.9,0.9474,0.9184,0.971,1.0,0.9853,0.9941,0.7561,0.9394,0.8378,0.896
0.9417,0.941,0.919,0.941,0.9284,0.9355,0.9463,0.9417,0.9427,0.9418,0.9916,0.9494,0.913,0.0158,RandomForest_deep,600,2026-06-04 19:46:59,0.9815,0.9138,0.9464,0.9266,0.9756,1.0,0.9877,0.995,0.8,0.9091,0.8511,0.885
