acuracia,bal_acuracia,precision_macro,recall_macro,f1_macro,f2_macro,precision_weighted,recall_weighted,f1_weighted,f2_weighted,auc_roc,score_composto,cv_f1_mean,cv_f1_std,modelo_nome,n_amostras,timestamp,Alto_precision,Alto_recall,Alto_f1,Alto_f2,Baixo_precision,Baixo_recall,Baixo_f1,Baixo_f2,Medio_precision,Medio_recall,Medio_f1,Medio_f2
0.9437,0.9259,0.9216,0.9259,0.9236,0.9249,0.9449,0.9438,0.9443,0.9439,0.9896,0.9447,0.9055,0.0274,RandomForest_deep,800,2026-06-04 19:47:30,0.95,0.95,0.95,0.95,1.0,0.9815,0.9907,0.9851,0.8148,0.8462,0.8302,0.8397
0.9437,0.9261,0.9192,0.9261,0.9225,0.9246,0.9446,0.9438,0.9441,0.9439,0.9929,0.9445,0.9053,0.009,RandomForest_deep,800,2026-06-04 19:47:13,0.95,0.9383,0.9441,0.9406,1.0,1.0,1.0,1.0,0.8077,0.84,0.8235,0.8333
0.935,0.9374,0.9096,0.9374,0.9208,0.93,0.9422,0.935,0.9368,0.9352,0.9912,0.9443,0.918,0.0158,RandomForest_deep,1000,2026-06-04 19:47:32,0.967,0.898,0.9312,0.911,1.0,1.0,1.0,1.0,0.7619,0.9143,0.8312,0.8791
0.9375,0.9284,0.916,0.9284,0.9217,0.9256,0.9393,0.9375,0.938,0.9376,0.9933,0.9442,0.9243,0.0103,RandomForest_deep,800,2026-06-04 19:47:23,0.96,0.9231,0.9412,0.9302,0.9815,1.0,0.9907,0.9962,0.8065,0.8621,0.8333,0.8503
0.9333,0.9446,0.9103,0.9446,0.9224,0.9344,0.9449,0.9333,0.9355,0.9333,0.9853,0.9442,0.9123,0.0138,RandomForest_deep,600,2026-06-04 19:46:52,0.9808,0.8793,0.9273,0.8979,1.0,1.0,1.0,1.0,0.75,0.9545,0.84,0.9052
0.9417,0.9278,0.9196,0.9278,0.9235,0.926,0.9428,0.9417,0.9421,0.9418,0.9901,0.9442,0.8643,0.0382,GradientBoosting,600,2026-06-04 19:51:05,0.9492,0.9333,0.9412,0.9365,1.0,1.0,1.0,1.0,0.8095,0.85,0.8293,0.8416
0.935,0.9369,0.9053,0.9369,0.9179,0.9285,0.9433,0.935,0.9368,0.9351,0.9929,0.9441,0.8901,0.0178,RandomForest_wide,1000,2026-06-04 19:49:40,0.9889,0.899,0.9418,0.9156,0.971,1.0,0.9853,0.9941,0.7561,0.9118,0.8267,0.8757
0.93,0.9465,0.9047,0.9465,0.9183,0.9331,0.9463,0.93,0.9327,0.9296,0.9905,0.9441,0.9202,0.0192,RandomForest_wide,1000,2026-06-04 19:49:27,1.0,0.8673,0.929,0.891,0.9851,1.0,0.9925,0.997,0.7292,0.9722,0.8333,0.9115
0.9313,0.946,0.8945,0.946,0.9123,0.9302,0.9475,0.9312,0.9347,0.9313,0.9918,0.943,0.9026,0.0068,RandomForest_wide,800,2026-06-04 19:49:16,0.9865,0.8795,0.9299,0.899,1.0,1.0,1.0,1.0,0.697,0.9583,0.807,0.8915
0.9375,0.9324,0.9073,0.9324,0.9181,0.9262,0.9426,0.9375,0.9389,0.9377,0.9892,0.9426,0.9114,0.0067,RandomForest_wide,800,2026-06-04 19:49:13,0.9733,0.9125,0.9419,0.9241,0.9818,1.0,0.9908,0.9963,0.7667,0.8846,0.8214,0.8582
0.9437,0.911,0.9441,0.911,0.9248,0.9159,0.9438,0.9438,0.942,0.9426,0.9945,0.9425,0.9243,0.0136,GradientBoosting,800,2026-06-04 19:51:30,0.9157,0.9744,0.9441,0.962,1.0,1.0,1.0,1.0,0.9167,0.7586,0.8302,0.7857
0.9375,0.9237,0.9079,0.9237,0.9151,0.9201,0.94,0.9375,0.9381,0.9376,0.9955,0.9416,0.8946,0.0274,RandomForest_deep,400,2026-06-04 19:46:39,0.9737,0.925,0.9487,0.9343,0.9643,1.0,0.9818,0.9926,0.7857,0.8462,0.8148,0.8333
0.935,0.9296,0.907,0.9296,0.9167,0.924,0.9399,0.935,0.9365,0.9353,0.9903,0.9411,0.9313,0.0216,RandomForest_deep,1000,2026-06-04 19:47:49,0.9579,0.91,0.9333,0.9192,1.0,1.0,1.0,1.0,0.7632,0.8788,0.8169,0.8529
0.9333,0.9333,0.9048,0.9333,0.9164,0.9258,0.9405,0.9333,0.9352,0.9336,0.9863,0.9404,0.8738,0.0508,RandomForest_deep,600,2026-06-04 19:47:11,0.9643,0.9,0.931,0.9122,1.0,1.0,1.0,1.0,0.75,0.9,0.8182,0.8654
0.9333,0.9321,0.899,0.9321,0.9124,0.9234,0.9415,0.9333,0.9353,0.9336,0.99,0.9402,0.9165,0.008,RandomForest_deep,600,2026-06-04 19:46:55,0.9821,0.9016,0.9402,0.9167,0.9756,1.0,0.9877,0.995,0.7391,0.8947,0.8095,0.8586
0.9333,0.9321,0.899,0.9321,0.9124,0.9234,0.9415,0.9333,0.9353,0.9336,0.9896,0.9401,0.9037,0.0399,RandomForest_wide,600,2026-06-04 19:48:34,0.9821,0.9016,0.9402,0.9167,0.9756,1.0,0.9877,0.995,0.7391,0.8947,0.8095,0.8586
0.9333,0.9321,0.899,0.9321,0.9124,0.9234,0.9415,0.9333,0.9353,0.9336,0.9896,0.9401,0.9065,0.0226,RandomForest_default,600,2026-06-04 19:46:03,0.9821,0.9016,0.9402,0.9167,0.9756,1.0,0.9877,0.995,0.7391,0.8947,0.8095,0.8586
0.9375,0.9139,0.9256,0.9139,0.9194,0.916,0.9366,0.9375,0.9368,0.9372,0.9933,0.94,0.9397,0.0117,GradientBoosting,800,2026-06-04 19:51:21,0.925,0.9487,0.9367,0.9439,1.0,1.0,1.0,1.0,0.8519,0.7931,0.8214,0.8042
0.93,0.9336,0.9004,0.9336,0.9132,0.9244,0.9395,0.93,0.9322,0.9302,0.9893,0.9396,0.9194,0.0087,RandomForest_wide,1000,2026-06-04 19:49:37,0.9778,0.8889,0.9312,0.9053,0.9853,1.0,0.9926,0.997,0.7381,0.9118,0.8158,0.8708
0.925,0.9363,0.9016,0.9363,0.9127,0.9251,0.9401,0.925,0.9283,0.9251,0.987,0.9388,0.9252,0.0262,GradientBoosting,600,2026-06-04 19:50:30,0.9808,0.8793,0.9273,0.8979,1.0,0.975,0.9873,0.9799,0.7241,0.9545,0.8235,0.8974
0.9313,0.9241,0.9046,0.9241,0.9129,0.9193,0.9358,0.9312,0.9322,0.9313,0.9863,0.9375,0.9187,0.0222,RandomForest_default,800,2026-06-04 19:46:13,0.9861,0.9103,0.9467,0.9245,0.9464,1.0,0.9725,0.9888,0.7812,0.8621,0.8197,0.8446
0.925,0.9307,0.8928,0.9307,0.9063,0.9193,0.9385,0.925,0.9284,0.9254,0.9879,0.9358,0.8877,0.0246,RandomForest_wide,800,2026-06-04 19:49:18,0.9726,0.8875,0.9281,0.9033,1.0,0.9815,0.9907,0.9851,0.7059,0.9231,0.8,0.8696
0.925,0.9205,0.9031,0.9205,0.9105,0.9161,0.9295,0.925,0.9263,0.9253,0.9929,0.9355,0.9009,0.0164,RandomForest_wide,400,2026-06-04 19:48:04,0.9444,0.8947,0.9189,0.9043,1.0,1.0,1.0,1.0,0.7647,0.8667,0.8125,0.8442
0.9313,0.9215,0.9029,0.9215,0.9112,0.9171,0.9348,0.9312,0.9323,0.9315,0.9844,0.9354,0.9146,0.0069,RandomForest_deep,800,2026-06-04 19:47:15,0.9605,0.9125,0.9359,0.9217,0.9815,1.0,0.9907,0.9962,0.7667,0.8519,0.807,0.8333
0.925,0.9327,0.8901,0.9327,0.9051,0.9199,0.9402,0.925,0.928,0.925,0.9867,0.9351,0.8544,0.0326,RandomForest_wide,400,2026-06-04 19:48:09,1.0,0.875,0.9333,0.8974,0.9643,1.0,0.9818,0.9926,0.7059,0.9231,0.8,0.8696
0.92,0.9333,0.893,0.9333,0.906,0.9203,0.9365,0.92,0.9232,0.92,0.9908,0.9349,0.913,0.0114,RandomForest_default,1000,2026-06-04 19:46:20,0.9767,0.8571,0.913,0.8787,1.0,1.0,1.0,1.0,0.7021,0.9429,0.8049,0.8824
0.925,0.9237,0.8961,0.9237,0.9072,0.9164,0.9329,0.925,0.9271,0.9254,0.9907,0.9346,0.9191,0.0071,RandomForest_default,1000,2026-06-04 19:46:26,0.9565,0.8889,0.9215,0.9016,1.0,1.0,1.0,1.0,0.7317,0.8824,0.8,0.8475
0.9333,0.9176,0.8972,0.9176,0.9064,0.9129,0.9369,0.9333,0.9344,0.9336,0.9888,0.9344,0.9225,0.0169,RandomForest_deep,600,2026-06-04 19:46:57,0.9661,0.9194,0.9421,0.9283,0.9756,1.0,0.9877,0.995,0.75,0.8333,0.7895,0.8152
0.935,0.9047,0.9201,0.9047,0.9118,0.9074,0.9338,0.935,0.934,0.9345,0.9921,0.9342,0.9155,0.0148,GradientBoosting,1000,2026-06-04 19:52:03,0.9216,0.9495,0.9353,0.9438,1.0,1.0,1.0,1.0,0.8387,0.7647,0.8,0.7784
0.925,0.923,0.8899,0.923,0.9029,0.914,0.9344,0.925,0.9276,0.9255,0.9906,0.933,0.9012,0.0143,RandomForest_wide,800,2026-06-04 19:48:52,0.96,0.8889,0.9231,0.9023,1.0,1.0,1.0,1.0,0.7097,0.88,0.7857,0.8397
0.9375,0.9064,0.9129,0.9064,0.9088,0.9071,0.9368,0.9375,0.9365,0.9369,0.9855,0.933,0.9153,0.0286,RandomForest_deep,400,2026-06-04 19:46:42,0.9744,0.95,0.962,0.9548,0.931,1.0,0.9643,0.9854,0.8333,0.7692,0.8,0.7812
0.9313,0.9086,0.9022,0.9086,0.9053,0.9073,0.9323,0.9312,0.9317,0.9314,0.992,0.9321,0.8926,0.0136,RandomForest_default,800,2026-06-04 19:46:09,0.9375,0.9259,0.9317,0.9282,1.0,1.0,1.0,1.0,0.7692,0.8,0.7843,0.7937
0.925,0.9316,0.8839,0.9316,0.9009,0.9173,0.9411,0.925,0.9284,0.9252,0.9806,0.932,0.8454,0.0202,RandomForest_default,400,2026-06-04 19:45:55,1.0,0.878,0.9351,0.9,0.9643,1.0,0.9818,0.9926,0.6875,0.9167,0.7857,0.8594
0.9167,0.9331,0.8933,0.9331,0.905,0.9195,0.9353,0.9167,0.92,0.9164,0.9837,0.9317,0.9018,0.0231,RandomForest_wide,600,2026-06-04 19:48:20,0.98,0.8448,0.9074,0.8688,1.0,1.0,1.0,1.0,0.7,0.9545,0.8077,0.8898
0.925,0.9126,0.8967,0.9126,0.9034,0.9086,0.9291,0.925,0.9257,0.925,0.9893,0.9317,0.9325,0.0161,RandomForest_deep,800,2026-06-04 19:47:19,0.9861,0.9103,0.9467,0.9245,0.9298,1.0,0.9636,0.9851,0.7742,0.8276,0.8,0.8163
0.9167,0.9331,0.8933,0.9331,0.905,0.9195,0.9353,0.9167,0.92,0.9164,0.9836,0.9316,0.9149,0.0301,RandomForest_default,600,2026-06-04 19:45:58,0.98,0.8448,0.9074,0.8688,1.0,1.0,1.0,1.0,0.7,0.9545,0.8077,0.8898
0.925,0.9316,0.8839,0.9316,0.9009,0.9173,0.9411,0.925,0.9284,0.9252,0.9794,0.9316,0.8455,0.0578,RandomForest_deep,400,2026-06-04 19:46:46,1.0,0.878,0.9351,0.9,0.9643,1.0,0.9818,0.9926,0.6875,0.9167,0.7857,0.8594
0.9375,0.9037,0.9136,0.9037,0.9081,0.9054,0.9358,0.9375,0.9363,0.9369,0.9853,0.9316,0.8853,0.009,RandomForest_deep,800,2026-06-04 19:47:21,0.9512,0.9512,0.9512,0.9512,0.9636,1.0,0.9815,0.9925,0.8261,0.76,0.7917,0.7724
0.915,0.9299,0.887,0.9299,0.9,0.9155,0.9346,0.915,0.9186,0.9148,0.9893,0.9308,0.901,0.0244,RandomForest_wide,1000,2026-06-04 19:49:21,0.9881,0.8469,0.9121,0.8718,0.9853,1.0,0.9926,0.997,0.6875,0.9429,0.7952,0.8777
0.9333,0.9044,0.9014,0.9044,0.9028,0.9038,0.9331,0.9333,0.9331,0.9332,0.9907,0.9305,0.9145,0.0057,GradientBoosting,600,2026-06-04 19:50:38,0.9508,0.9355,0.9431,0.9385,0.9756,1.0,0.9877,0.995,0.7778,0.7778,0.7778,0.7778
0.925,0.9154,0.8902,0.9154,0.9009,0.9091,0.9311,0.925,0.9266,0.9253,0.9876,0.9303,0.854,0.0148,RandomForest_default,400,2026-06-04 19:45:54,0.973,0.9,0.9351,0.9137,0.9643,1.0,0.9818,0.9926,0.7333,0.8462,0.7857,0.8209
0.925,0.9114,0.894,0.9114,0.9012,0.9069,0.931,0.925,0.9272,0.9256,0.9855,0.93,0.8656,0.0256,GradientBoosting,400,2026-06-04 19:49:58,0.9487,0.925,0.9367,0.9296,1.0,0.963,0.9811,0.9701,0.7333,0.8462,0.7857,0.8209
0.9375,0.8945,0.9252,0.8945,0.9077,0.8993,0.936,0.9375,0.9355,0.9364,0.9894,0.9297,0.9198,0.0385,GradientBoosting,800,2026-06-04 19:51:34,0.9186,0.9634,0.9405,0.9541,1.0,1.0,1.0,1.0,0.8571,0.72,0.7826,0.7438
0.9187,0.9286,0.8814,0.9286,0.8975,0.914,0.9362,0.9188,0.9225,0.9189,0.9837,0.9296,0.877,0.0463,RandomForest_wide,800,2026-06-04 19:49:10,0.9861,0.8659,0.9221,0.8875,0.9815,1.0,0.9907,0.9962,0.6765,0.92,0.7797,0.8582
0.925,0.9034,0.9077,0.9034,0.9054,0.9042,0.926,0.925,0.9253,0.9251,0.982,0.929,0.9169,0.0105,GradientBoosting,400,2026-06-04 19:50:02,0.9231,0.9474,0.9351,0.9424,1.0,0.963,0.9811,0.9701,0.8,0.8,0.8,0.8
0.9187,0.9213,0.8865,0.9213,0.8995,0.9114,0.9303,0.9188,0.9215,0.919,0.9832,0.9285,0.9046,0.0183,RandomForest_default,800,2026-06-04 19:46:10,0.9722,0.875,0.9211,0.8929,0.9815,1.0,0.9907,0.9962,0.7059,0.8889,0.7869,0.8451
0.9375,0.8891,0.931,0.8891,0.9052,0.8946,0.936,0.9375,0.9341,0.9356,0.989,0.928,0.9195,0.0449,GradientBoosting,400,2026-06-04 19:50:12,0.9286,0.975,0.9512,0.9653,0.9643,1.0,0.9818,0.9926,0.9,0.6923,0.7826,0.7258
0.925,0.9122,0.8851,0.9122,0.8967,0.9055,0.9312,0.925,0.9268,0.9254,0.9856,0.9275,0.9165,0.0155,RandomForest_wide,600,2026-06-04 19:48:25,0.9655,0.9032,0.9333,0.915,0.9756,1.0,0.9877,0.995,0.7143,0.8333,0.7692,0.8065
0.9333,0.8913,0.9082,0.8913,0.8988,0.8941,0.9309,0.9333,0.9317,0.9326,0.9929,0.9265,0.9142,0.016,GradientBoosting,600,2026-06-04 19:50:53,0.9365,0.9516,0.944,0.9486,0.9756,1.0,0.9877,0.995,0.8125,0.7222,0.7647,0.7386
0.9083,0.9278,0.8785,0.9278,0.8921,0.9102,0.9327,0.9083,0.913,0.9081,0.984,0.9248,0.8806,0.0576,RandomForest_wide,600,2026-06-04 19:48:50,0.9804,0.8333,0.9009,0.8591,1.0,1.0,1.0,1.0,0.6552,0.95,0.7755,0.8716
0.92,0.8995,0.8929,0.8995,0.8959,0.898,0.9221,0.92,0.9209,0.9203,0.9863,0.924,0.9337,0.0069,GradientBoosting,1000,2026-06-04 19:52:08,0.9286,0.9192,0.9239,0.9211,1.0,0.9851,0.9925,0.988,0.75,0.7941,0.7714,0.7849
0.91,0.9197,0.8763,0.9197,0.8903,0.9057,0.9286,0.91,0.914,0.9102,0.986,0.9237,0.9072,0.0251,RandomForest_wide,1000,2026-06-04 19:49:47,0.977,0.85,0.9091,0.8727,0.9853,1.0,0.9926,0.997,0.6667,0.9091,0.7692,0.8475
0.925,0.8837,0.9208,0.8837,0.8984,0.8888,0.9241,0.925,0.9221,0.9233,0.9923,0.9234,0.9398,0.0197,GradientBoosting,800,2026-06-04 19:51:17,0.8929,0.9615,0.9259,0.947,1.0,1.0,1.0,1.0,0.8696,0.6897,0.7692,0.7194
0.925,0.899,0.8875,0.899,0.8929,0.8965,0.9266,0.925,0.9255,0.9251,0.9865,0.9234,0.9226,0.0159,RandomForest_default,600,2026-06-04 19:46:00,0.95,0.9194,0.9344,0.9253,0.9756,1.0,0.9877,0.995,0.7368,0.7778,0.7568,0.7692
0.9125,0.9234,0.8704,0.9234,0.8872,0.9061,0.935,0.9125,0.9172,0.9126,0.9784,0.9223,0.8585,0.0563,RandomForest_wide,400,2026-06-04 19:48:12,1.0,0.8537,0.9211,0.8794,0.9643,1.0,0.9818,0.9926,0.6471,0.9167,0.7586,0.8462
0.9083,0.9167,0.8763,0.9167,0.8895,0.9038,0.9256,0.9083,0.9123,0.9087,0.9822,0.9213,0.8878,0.0462,RandomForest_default,600,2026-06-04 19:46:08,0.9623,0.85,0.9027,0.8703,1.0,1.0,1.0,1.0,0.6667,0.9,0.766,0.8411
0.9,0.9138,0.8746,0.9138,0.8854,0.8999,0.9213,0.9,0.9043,0.9,0.9888,0.9188,0.9038,0.0134,RandomForest_default,1000,2026-06-04 19:46:30,0.9639,0.8247,0.8889,0.8493,1.0,1.0,1.0,1.0,0.66,0.9167,0.7674,0.8505
0.925,0.8859,0.8893,0.8859,0.8872,0.8863,0.9234,0.925,0.9239,0.9245,0.9858,0.9183,0.9,0.0395,RandomForest_default,600,2026-06-04 19:46:05,0.9508,0.9355,0.9431,0.9385,0.9524,1.0,0.9756,0.9901,0.7647,0.7222,0.7429,0.7303
0.925,0.8859,0.8893,0.8859,0.8872,0.8863,0.9234,0.925,0.9239,0.9245,0.985,0.9181,0.912,0.0202,RandomForest_deep,600,2026-06-04 19:47:05,0.9508,0.9355,0.9431,0.9385,0.9524,1.0,0.9756,0.9901,0.7647,0.7222,0.7429,0.7303
0.905,0.9087,0.8726,0.9087,0.8846,0.8973,0.9215,0.905,0.9091,0.9055,0.9805,0.9175,0.917,0.0099,RandomForest_wide,1000,2026-06-04 19:49:33,0.9659,0.8586,0.9091,0.8781,0.9851,0.9851,0.9851,0.9851,0.6667,0.8824,0.7595,0.8287
0.925,0.8771,0.9029,0.8771,0.888,0.881,0.9219,0.925,0.9224,0.9237,0.9905,0.9173,0.8641,0.0142,GradientBoosting,800,2026-06-04 19:51:26,0.9176,0.9512,0.9341,0.9443,0.9815,1.0,0.9907,0.9962,0.8095,0.68,0.7391,0.7025
0.895,0.922,0.8739,0.922,0.8823,0.9015,0.9296,0.895,0.9002,0.8939,0.9865,0.9173,0.9013,0.0102,RandomForest_wide,1000,2026-06-04 19:49:50,1.0,0.7938,0.8851,0.828,0.9853,1.0,0.9926,0.997,0.6364,0.9722,0.7692,0.8794
0.9167,0.8937,0.8709,0.8937,0.8806,0.888,0.9227,0.9167,0.9181,0.9169,0.9837,0.9163,0.885,0.0557,RandomForest_wide,600,2026-06-04 19:48:41,0.9825,0.9032,0.9412,0.918,0.9302,1.0,0.9639,0.9852,0.7,0.7778,0.7368,0.7609
0.9,0.9103,0.862,0.9103,0.8765,0.8939,0.9235,0.9,0.9051,0.9003,0.9873,0.9155,0.8982,0.0226,RandomForest_default,600,2026-06-04 19:45:59,0.9808,0.8361,0.9027,0.8615,0.9756,1.0,0.9877,0.995,0.6296,0.8947,0.7391,0.8252
0.9125,0.8897,0.8728,0.8897,0.88,0.8856,0.9168,0.9125,0.9133,0.9125,0.9853,0.9149,0.8947,0.0286,RandomForest_default,400,2026-06-04 19:45:53,0.973,0.9,0.9351,0.9137,0.931,1.0,0.9643,0.9854,0.7143,0.7692,0.7407,0.7576
0.9,0.9027,0.8691,0.9027,0.8801,0.8922,0.9162,0.9,0.9032,0.9001,0.9832,0.9143,0.9074,0.0217,RandomForest_wide,800,2026-06-04 19:49:01,0.9851,0.8462,0.9103,0.8707,0.9464,1.0,0.9725,0.9888,0.6757,0.8621,0.7576,0.817
0.9125,0.8875,0.872,0.8875,0.8791,0.884,0.9154,0.9125,0.9134,0.9127,0.9841,0.9133,0.8836,0.0081,RandomForest_default,800,2026-06-04 19:46:14,0.9487,0.9024,0.925,0.9113,0.9636,1.0,0.9815,0.9925,0.7037,0.76,0.7308,0.748
0.9062,0.8927,0.8634,0.8927,0.8753,0.885,0.9154,0.9062,0.9088,0.9068,0.9828,0.9117,0.8639,0.0048,RandomForest_wide,800,2026-06-04 19:49:04,0.96,0.878,0.9172,0.8933,0.9636,1.0,0.9815,0.9925,0.6667,0.8,0.7273,0.7692
0.905,0.8894,0.8697,0.8894,0.8781,0.8845,0.9112,0.905,0.9071,0.9056,0.9801,0.9114,0.9306,0.0194,RandomForest_default,1000,2026-06-04 19:46:25,0.9462,0.8889,0.9167,0.8998,0.9706,0.9851,0.9778,0.9821,0.6923,0.7941,0.7397,0.7714
0.9187,0.864,0.9089,0.864,0.8806,0.8695,0.9162,0.9188,0.9141,0.9162,0.9879,0.9102,0.9075,0.0033,GradientBoosting,800,2026-06-04 19:51:13,0.8953,0.9625,0.9277,0.9483,0.9815,1.0,0.9907,0.9962,0.85,0.6296,0.7234,0.6641
0.9125,0.8724,0.8798,0.8724,0.8756,0.8736,0.9098,0.9125,0.9109,0.9118,0.9886,0.9098,0.9126,0.026,GradientBoosting,400,2026-06-04 19:50:16,0.925,0.925,0.925,0.925,0.9643,1.0,0.9818,0.9926,0.75,0.6923,0.72,0.7031
0.9062,0.8834,0.8634,0.8834,0.8722,0.8786,0.9111,0.9062,0.9077,0.9066,0.9829,0.9086,0.8947,0.0368,RandomForest_default,800,2026-06-04 19:46:16,0.9481,0.8902,0.9182,0.9012,0.9636,1.0,0.9815,0.9925,0.6786,0.76,0.717,0.7422
0.8938,0.8965,0.8592,0.8965,0.8714,0.8846,0.9115,0.8938,0.898,0.8943,0.9841,0.9086,0.892,0.0172,RandomForest_wide,800,2026-06-04 19:48:55,0.9571,0.8375,0.8933,0.859,0.9815,1.0,0.9907,0.9962,0.6389,0.8519,0.7302,0.7986
0.9,0.8796,0.8637,0.8796,0.8706,0.8757,0.9049,0.9,0.9017,0.9005,0.9807,0.906,0.931,0.0151,RandomForest_deep,1000,2026-06-04 19:47:41,0.9362,0.8889,0.9119,0.898,0.9706,0.9851,0.9778,0.9821,0.6842,0.7647,0.7222,0.7471
0.9,0.8641,0.8569,0.8641,0.8599,0.8623,0.9004,0.9,0.8995,0.8996,0.9886,0.9008,0.8752,0.0079,RandomForest_deep,400,2026-06-04 19:46:44,0.9474,0.9,0.9231,0.9091,0.931,1.0,0.9643,0.9854,0.6923,0.6923,0.6923,0.6923
0.875,0.8939,0.8406,0.8939,0.8514,0.872,0.9129,0.875,0.8827,0.875,0.9833,0.8968,0.8984,0.0265,RandomForest_wide,600,2026-06-04 19:48:23,0.9796,0.7869,0.8727,0.8191,0.9756,1.0,0.9877,0.995,0.5667,0.8947,0.6939,0.8019
0.8875,0.8731,0.8425,0.8731,0.8535,0.8642,0.9015,0.8875,0.8908,0.888,0.975,0.8944,0.8586,0.0133,RandomForest_wide,400,2026-06-04 19:48:07,0.9714,0.85,0.9067,0.8718,0.931,1.0,0.9643,0.9854,0.625,0.7692,0.6897,0.7353
